id,value,category
272,value_272,cat_2
273,value_273,cat_3
274,value_274,cat_4
275,value_275,cat_5
276,value_276,cat_6
277,value_277,cat_7
278,value_278,cat_8
279,value_279,cat_9
280,value_280,cat_0
281,value_281,cat_1
282,value_282,cat_2
283,value_283,cat_3
284,value_284,cat_4
285,value_285,cat_5
286,value_286,cat_6
287,value_287,cat_7
288,value_288,cat_8
289,value_289,cat_9
290,value_290,cat_0
291,value_291,cat_1
292,value_292,cat_2
293,value_293,cat_3
294,value_294,cat_4
295,value_295,cat_5
296,value_296,cat_6
297,value_297,cat_7
298,value_298,cat_8
299,value_299,cat_9
300,value_300,cat_0
301,value_301,cat_1
302,value_302,cat_2
303,value_303,cat_3
304,value_304,cat_4
305,value_305,cat_5
306,value_306,cat_6
307,value_307,cat_7
308,value_308,cat_8
309,value_309,cat_9
310,value_310,cat_0
311,value_311,cat_1
312,value_312,cat_2
313,value_313,cat_3
314,value_314,cat_4
315,value_315,cat_5
316,value_316,cat_6
317,value_317,cat_7
318,value_318,cat_8
319,value_319,cat_9
320,value_320,cat_0
321,value_321,cat_1
322,value_322,cat_2
323,value_323,cat_3
324,value_324,cat_4
325,value_325,cat_5
326,value_326,cat_6
327,value_327,cat_7
328,value_328,cat_8
329,value_329,cat_9
330,value_330,cat_0
331,value_331,cat_1
332,value_332,cat_2
333,value_333,cat_3
334,value_334,cat_4
335,value_335,cat_5
336,value_336,cat_6
337,value_337,cat_7
338,value_338,cat_8
339,value_339,cat_9
340,value_340,cat_0
341,value_341,cat_1
342,value_342,cat_2
343,value_343,cat_3
344,value_344,cat_4
345,value_345,cat_5
346,value_346,cat_6
347,value_347,cat_7
348,value_348,cat_8
349,value_349,cat_9
350,value_350,cat_0
351,value_351,cat_1
352,value_352,cat_2
353,value_353,cat_3
354,value_354,cat_4
355,value_355,cat_5
356,value_356,cat_6
357,value_357,cat_7
358,value_358,cat_8
359,value_359,cat_9
360,value_360,cat_0
361,value_361,cat_1
362,value_362,cat_2
363,value_363,cat_3
364,value_364,cat_4
365,value_365,cat_5
366,value_366,cat_6
367,value_367,cat_7
368,value_368,cat_8
369,value_369,cat_9
370,value_370,cat_0
371,value_371,cat_1
372,value_372,cat_2
373,value_373,cat_3
374,value_374,cat_4
375,value_375,cat_5
376,value_376,cat_6
377,value_377,cat_7
378,value_378,cat_8
379,value_379,cat_9
380,value_380,cat_0
381,value_381,cat_1
382,value_382,cat_2
383,value_383,cat_3
384,value_384,cat_4
385,value_385,cat_5
386,value_386,cat_6
387,value_387,cat_7
388,value_388,cat_8
389,value_389,cat_9
390,value_390,cat_0
391,value_391,cat_1
392,value_392,cat_2
393,value_393,cat_3
394,value_394,cat_4
395,value_395,cat_5
396,value_396,cat_6
397,value_397,cat_7
398,value_398,cat_8
399,value_399,cat_9
400,value_400,cat_0
401,value_401,cat_1
402,value_402,cat_2
403,value_403,cat_3
404,value_404,cat_4
405,value_405,cat_5
406,value_406,cat_6
407,value_407,cat_7
408,value_408,cat_8
409,value_409,cat_9
410,value_410,cat_0
411,value_411,cat_1
412,value_412,cat_2
413,value_413,cat_3
414,value_414,cat_4
415,value_415,cat_5
416,value_416,cat_6
417,value_417,cat_7
418,value_418,cat_8
419,value_419,cat_9
420,value_420,cat_0
421,value_421,cat_1
422,value_422,cat_2
423,value_423,cat_3
424,value_424,cat_4
425,value_425,cat_5
426,value_426,cat_6
427,value_427,cat_7
428,value_428,cat_8
429,value_429,cat_9
430,value_430,cat_0
431,value_431,cat_1
432,value_432,cat_2
433,value_433,cat_3
434,value_434,cat_4
435,value_435,cat_5
436,value_436,cat_6
437,value_437,cat_7
438,value_438,cat_8
439,value_439,cat_9
440,value_440,cat_0
441,value_441,cat_1
442,value_442,cat_2
443,value_443,cat_3
444,value_444,cat_4
445,value_445,cat_5
446,value_446,cat_6
447,value_447,cat_7
448,value_448,cat_8
449,value_449,cat_9
450,value_450,cat_0
451,value_451,cat_1
452,value_452,cat_2
453,value_453,cat_3
454,value_454,cat_4
455,value_455,cat_5
456,value_456,cat_6
457,value_457,cat_7
458,value_458,cat_8
459,value_459,cat_9
460,value_460,cat_0
461,value_461,cat_1
462,value_462,cat_2
463,value_463,cat_3
464,value_464,cat_4
465,value_465,cat_5
466,value_466,cat_6
467,value_467,cat_7
468,value_468,cat_8
469,value_469,cat_9
470,value_470,cat_0
471,value_471,cat_1
472,value_472,cat_2
473,value_473,cat_3
474,value_474,cat_4
475,value_475,cat_5
476,value_476,cat_6
477,value_477,cat_7
478,value_478,cat_8
479,value_479,cat_9
480,value_480,cat_0
481,value_481,cat_1
482,value_482,cat_2
483,value_483,cat_3
484,value_484,cat_4
485,value_485,cat_5
486,value_486,cat_6
487,value_487,cat_7
488,value_488,cat_8
489,value_489,cat_9
490,value_490,cat_0
491,value_491,cat_1
492,value_492,cat_2
493,value_493,cat_3
494,value_494,cat_4
495,value_495,cat_5
496,value_496,cat_6
497,value_497,cat_7
498,value_498,cat_8
499,value_499,cat_9
500,value_500,cat_0
501,value_501,cat_1
502,value_502,cat_2
503,value_503,cat_3
504,value_504,cat_4
505,value_505,cat_5
506,value_506,cat_6
507,value_507,cat_7
508,value_508,cat_8
509,value_509,cat_9
510,value_510,cat_0
511,value_511,cat_1
512,value_512,cat_2
513,value_513,cat_3
514,value_514,cat_4
515,value_515,cat_5
516,value_516,cat_6
517,value_517,cat_7
518,value_518,cat_8
519,value_519,cat_9
520,value_520,cat_0
521,value_521,cat_1
522,value_522,cat_2
523,value_523,cat_3
524,value_524,cat_4
525,value_525,cat_5
526,value_526,cat_6
527,value_527,cat_7
528,value_528,cat_8
529,value_529,cat_9
530,value_530,cat_0
531,value_531,cat_1
532,value_532,cat_2
533,value_533,cat_3
534,value_534,cat_4
535,value_535,cat_5
536,value_536,cat_6
537,value_537,cat_7
538,value_538,cat_8
539,value_539,cat_9
540,value_540,cat_0
541,value_541,cat_1
542,value_542,cat_2
543,value_543,cat_3
544,value_544,cat_4
545,value_545,cat_5
546,value_546,cat_6
547,value_547,cat_7
548,value_548,cat_8
549,value_549,cat_9
550,value_550,cat_0
551,value_551,cat_1
552,value_552,cat_2
553,value_553,cat_3
554,value_554,cat_4
555,value_555,cat_5
556,value_556,cat_6
557,value_557,cat_7
558,value_558,cat_8
559,value_559,cat_9
560,value_560,cat_0
561,value_561,cat_1
562,value_562,cat_2
563,value_563,cat_3
564,value_564,cat_4
565,value_565,cat_5
566,value_566,cat_6
567,value_567,cat_7
568,value_568,cat_8
569,value_569,cat_9
570,value_570,cat_0
571,value_571,cat_1
572,value_572,cat_2
573,value_573,cat_3
574,value_574,cat_4
575,value_575,cat_5
576,value_576,cat_6
577,value_577,cat_7
578,value_578,cat_8
579,value_579,cat_9
580,value_580,cat_0
581,value_581,cat_1
582,value_582,cat_2
583,value_583,cat_3
584,value_584,cat_4
585,value_585,cat_5
586,value_586,cat_6
587,value_587,cat_7
588,value_588,cat_8
589,value_589,cat_9
590,value_590,cat_0
591,value_591,cat_1
592,value_592,cat_2
593,value_593,cat_3
594,value_594,cat_4
595,value_595,cat_5
596,value_596,cat_6
597,value_597,cat_7
598,value_598,cat_8
599,value_599,cat_9
600,value_600,cat_0
601,value_601,cat_1
602,value_602,cat_2
603,value_603,cat_3
604,value_604,cat_4
605,value_605,cat_5
606,value_606,cat_6
607,value_607,cat_7
608,value_608,cat_8
609,value_609,cat_9
610,value_610,cat_0
611,value_611,cat_1
612,value_612,cat_2
613,value_613,cat_3
614,value_614,cat_4
615,value_615,cat_5
616,value_616,cat_6
617,value_617,cat_7
618,value_618,cat_8
619,value_619,cat_9
620,value_620,cat_0
621,value_621,cat_1
622,value_622,cat_2
623,value_623,cat_3
624,value_624,cat_4
625,value_625,cat_5
626,value_626,cat_6
627,value_627,cat_7
628,value_628,cat_8
629,value_629,cat_9
630,value_630,cat_0
631,value_631,cat_1
632,value_632,cat_2
633,value_633,cat_3
634,value_634,cat_4
635,value_635,cat_5
636,value_636,cat_6
637,value_637,cat_7
638,value_638,cat_8
639,value_639,cat_9
640,value_640,cat_0
641,value_641,cat_1
642,value_642,cat_2
643,value_643,cat_3
644,value_644,cat_4
645,value_645,cat_5
646,value_646,cat_6
647,value_647,cat_7
648,value_648,cat_8
649,value_649,cat_9
650,value_650,cat_0
651,value_651,cat_1
652,value_652,cat_2
653,value_653,cat_3
654,value_654,cat_4
655,value_655,cat_5
656,value_656,cat_6
657,value_657,cat_7
658,value_658,cat_8
659,value_659,cat_9
660,value_660,cat_0
661,value_661,cat_1
662,value_662,cat_2
663,value_663,cat_3
664,value_664,cat_4
665,value_665,cat_5
666,value_666,cat_6
667,value_667,cat_7
668,value_668,cat_8
669,value_669,cat_9
670,value_670,cat_0
671,value_671,cat_1
672,value_672,cat_2
673,value_673,cat_3
674,value_674,cat_4
675,value_675,cat_5
676,value_676,cat_6
677,value_677,cat_7
678,value_678,cat_8
679,value_679,cat_9
680,value_680,cat_0
681,value_681,cat_1
682,value_682,cat_2
683,value_683,cat_3
684,value_684,cat_4
685,value_685,cat_5
686,value_686,cat_6
687,value_687,cat_7
688,value_688,cat_8
689,value_689,cat_9
690,value_690,cat_0
691,value_691,cat_1
692,value_692,cat_2
693,value_693,cat_3
694,value_694,cat_4
695,value_695,cat_5
696,value_696,cat_6
697,value_697,cat_7
698,value_698,cat_8
699,value_699,cat_9
700,value_700,cat_0
701,value_701,cat_1
702,value_702,cat_2
703,value_703,cat_3
704,value_704,cat_4
705,value_705,cat_5
706,value_706,cat_6
707,value_707,cat_7
708,value_708,cat_8
709,value_709,cat_9
710,value_710,cat_0
711,value_711,cat_1
712,value_712,cat_2
713,value_713,cat_3
714,value_714,cat_4
715,value_715,cat_5
716,value_716,cat_6
717,value_717,cat_7
718,value_718,cat_8
719,value_719,cat_9
720,value_720,cat_0
721,value_721,cat_1
722,value_722,cat_2
723,value_723,cat_3
724,value_724,cat_4
725,value_725,cat_5
726,value_726,cat_6
727,value_727,cat_7
728,value_728,cat_8
729,value_729,cat_9
730,value_730,cat_0
731,value_731,cat_1
732,value_732,cat_2
733,value_733,cat_3
734,value_734,cat_4
735,value_735,cat_5
736,value_736,cat_6
737,value_737,cat_7
738,value_738,cat_8
739,value_739,cat_9
740,value_740,cat_0
741,value_741,cat_1
742,value_742,cat_2
743,value_743,cat_3
744,value_744,cat_4
745,value_745,cat_5
746,value_746,cat_6
747,value_747,cat_7
748,value_748,cat_8
749,value_749,cat_9
750,value_750,cat_0
751,value_751,cat_1
752,value_752,cat_2
753,value_753,cat_3
754,value_754,cat_4
755,value_755,cat_5
756,value_756,cat_6
757,value_757,cat_7
758,value_758,cat_8
759,value_759,cat_9
760,value_760,cat_0
761,value_761,cat_1
762,value_762,cat_2
763,value_763,cat_3
764,value_764,cat_4
765,value_765,cat_5
766,value_766,cat_6
767,value_767,cat_7
768,value_768,cat_8
769,value_769,cat_9
770,value_770,cat_0
771,value_771,cat_1
772,value_772,cat_2
773,value_773,cat_3
774,value_774,cat_4
775,value_775,cat_5
776,value_776,cat_6
777,value_777,cat_7
778,value_778,cat_8
779,value_779,cat_9
780,value_780,cat_0
781,value_781,cat_1
782,value_782,cat_2
783,value_783,cat_3
784,value_784,cat_4
785,value_785,cat_5
786,value_786,cat_6
787,value_787,cat_7
788,value_788,cat_8
789,value_789,cat_9
790,value_790,cat_0
791,value_791,cat_1
792,value_792,cat_2
793,value_793,cat_3
794,value_794,cat_4
795,value_795,cat_5
796,value_796,cat_6
797,value_797,cat_7
798,value_798,cat_8
799,value_799,cat_9
800,value_800,cat_0
801,value_801,cat_1
802,value_802,cat_2
803,value_803,cat_3
804,value_804,cat_4
805,value_805,cat_5
806,value_806,cat_6
807,value_807,cat_7
808,value_808,cat_8
809,value_809,cat_9
810,value_810,cat_0
811,value_811,cat_1
812,value_812,cat_2
813,value_813,cat_3
814,value_814,cat_4
815,value_815,cat_5
816,value_816,cat_6
817,value_817,cat_7
818,value_818,cat_8
819,value_819,cat_9
820,value_820,cat_0
821,value_821,cat_1
822,value_822,cat_2
823,value_823,cat_3
824,value_824,cat_4
825,value_825,cat_5
826,value_826,cat_6
827,value_827,cat_7
828,value_828,cat_8
829,value_829,cat_9
830,value_830,cat_0
831,value_831,cat_1
832,value_832,cat_2
833,value_833,cat_3
834,value_834,cat_4
835,value_835,cat_5
836,value_836,cat_6
837,value_837,cat_7
838,value_838,cat_8
839,value_839,cat_9
840,value_840,cat_0
841,value_841,cat_1
842,value_842,cat_2
843,value_843,cat_3
844,value_844,cat_4
845,value_845,cat_5
846,value_846,cat_6
847,value_847,cat_7
848,value_848,cat_8
849,value_849,cat_9
850,value_850,cat_0
851,value_851,cat_1
852,value_852,cat_2
853,value_853,cat_3
854,value_854,cat_4
855,value_855,cat_5
856,value_856,cat_6
857,value_857,cat_7
858,value_858,cat_8
859,value_859,cat_9
860,value_860,cat_0
861,value_861,cat_1
862,value_862,cat_2
863,value_863,cat_3
864,value_864,cat_4
865,value_865,cat_5
866,value_866,cat_6
867,value_867,cat_7
868,value_868,cat_8
869,value_869,cat_9
870,value_870,cat_0
871,value_871,cat_1
872,value_872,cat_2
873,value_873,cat_3
874,value_874,cat_4
875,value_875,cat_5
876,value_876,cat_6
877,value_877,cat_7
878,value_878,cat_8
879,value_879,cat_9
880,value_880,cat_0
881,value_881,cat_1
882,value_882,cat_2
883,value_883,cat_3
884,value_884,cat_4
885,value_885,cat_5
886,value_886,cat_6
887,value_887,cat_7
888,value_888,cat_8
889,value_889,cat_9
890,value_890,cat_0
891,value_891,cat_1
892,value_892,cat_2
893,value_893,cat_3
894,value_894,cat_4
895,value_895,cat_5
896,value_896,cat_6
897,value_897,cat_7
898,value_898,cat_8
899,value_899,cat_9
900,value_900,cat_0
901,value_901,cat_1
902,value_902,cat_2
903,value_903,cat_3
904,value_904,cat_4
905,value_905,cat_5
906,value_906,cat_6
907,value_907,cat_7
908,value_908,cat_8
909,value_909,cat_9
910,value_910,cat_0
911,value_911,cat_1
912,value_912,cat_2
913,value_913,cat_3
914,value_914,cat_4
915,value_915,cat_5
916,value_916,cat_6
917,value_917,cat_7
918,value_918,cat_8
919,value_919,cat_9
920,value_920,cat_0
921,value_921,cat_1
922,value_922,cat_2
923,value_923,cat_3
924,value_924,cat_4
925,value_925,cat_5
926,value_926,cat_6
927,value_927,cat_7
928,value_928,cat_8
929,value_929,cat_9
930,value_930,cat_0
931,value_931,cat_1
932,value_932,cat_2
933,value_933,cat_3
934,value_934,cat_4
935,value_935,cat_5
936,value_936,cat_6
937,value_937,cat_7
938,value_938,cat_8
939,value_939,cat_9
940,value_940,cat_0
941,value_941,cat_1
942,value_942,cat_2
943,value_943,cat_3
944,value_944,cat_4
945,value_945,cat_5
946,value_946,cat_6
947,value_947,cat_7
948,value_948,cat_8
949,value_949,cat_9
950,value_950,cat_0
951,value_951,cat_1
952,value_952,cat_2
953,value_953,cat_3
954,value_954,cat_4
955,value_955,cat_5
956,value_956,cat_6
957,value_957,cat_7
958,value_958,cat_8
959,value_959,cat_9
960,value_960,cat_0
961,value_961,cat_1
962,value_962,cat_2
963,value_963,cat_3
964,value_964,cat_4
965,value_965,cat_5
966,value_966,cat_6
967,value_967,cat_7
968,value_968,cat_8
969,value_969,cat_9
970,value_970,cat_0
971,value_971,cat_1
972,value_972,cat_2
973,value_973,cat_3
974,value_974,cat_4
975,value_975,cat_5
976,value_976,cat_6
977,value_977,cat_7
978,value_978,cat_8
979,value_979,cat_9
980,value_980,cat_0
981,value_981,cat_1
982,value_982,cat_2
983,value_983,cat_3
984,value_984,cat_4
985,value_985,cat_5
986,value_986,cat_6
987,value_987,cat_7
988,value_988,cat_8
989,value_989,cat_9
990,value_990,cat_0
991,value_991,cat_1
992,value_992,cat_2
993,value_993,cat_3
994,value_994,cat_4
995,value_995,cat_5
996,value_996,cat_6
997,value_997,cat_7
998,value_998,cat_8
999,value_999,cat_9
1000,value_1000,cat_0
1001,value_1001,cat_1
1002,value_1002,cat_2
1003,value_1003,cat_3
1004,value_1004,cat_4
1005,value_1005,cat_5
1006,value_1006,cat_6
1007,value_1007,cat_7
1008,value_1008,cat_8
1009,value_1009,cat_9
1010,value_1010,cat_0
1011,value_1011,cat_1
1012,value_1012,cat_2
1013,value_1013,cat_3
1014,value_1014,cat_4
1015,value_1015,cat_5
1016,value_1016,cat_6
1017,value_1017,cat_7
1018,value_1018,cat_8
1019,value_1019,cat_9
1020,value_1020,cat_0
1021,value_1021,cat_1
1022,value_1022,cat_2
1023,value_1023,cat_3
1024,value_1024,cat_4
1025,value_1025,cat_5
1026,value_1026,cat_6
1027,value_1027,cat_7
1028,value_1028,cat_8
1029,value_1029,cat_9
1030,value_1030,cat_0
1031,value_1031,cat_1
1032,value_1032,cat_2
1033,value_1033,cat_3
1034,value_1034,cat_4
1035,value_1035,cat_5
1036,value_1036,cat_6
1037,value_1037,cat_7
1038,value_1038,cat_8
1039,value_1039,cat_9
1040,value_1040,cat_0
1041,value_1041,cat_1
1042,value_1042,cat_2
1043,value_1043,cat_3
1044,value_1044,cat_4
1045,value_1045,cat_5
1046,value_1046,cat_6
1047,value_1047,cat_7
1048,value_1048,cat_8
1049,value_1049,cat_9
1050,value_1050,cat_0
1051,value_1051,cat_1
1052,value_1052,cat_2
1053,value_1053,cat_3
1054,value_1054,cat_4
1055,value_1055,cat_5
1056,value_1056,cat_6
1057,value_1057,cat_7
1058,value_1058,cat_8
1059,value_1059,cat_9
1060,value_1060,cat_0
1061,value_1061,cat_1
1062,value_1062,cat_2
1063,value_1063,cat_3
1064,value_1064,cat_4
1065,value_1065,cat_5
1066,value_1066,cat_6
1067,value_1067,cat_7
1068,value_1068,cat_8
1069,value_1069,cat_9
1070,value_1070,cat_0
1071,value_1071,cat_1
1072,value_1072,cat_2
1073,value_1073,cat_3
1074,value_1074,cat_4
1075,value_1075,cat_5
1076,value_1076,cat_6
1077,value_1077,cat_7
1078,value_1078,cat_8
1079,value_1079,cat_9
1080,value_1080,cat_0
1081,value_1081,cat_1
1082,value_1082,cat_2
1083,value_1083,cat_3
1084,value_1084,cat_4
1085,value_1085,cat_5
1086,value_1086,cat_6
1087,value_1087,cat_7
1088,value_1088,cat_8
1089,value_1089,cat_9
1090,value_1090,cat_0
1091,value_1091,cat_1
1092,value_1092,cat_2
1093,value_1093,cat_3
1094,value_1094,cat_4
1095,value_1095,cat_5
1096,value_1096,cat_6
1097,value_1097,cat_7
1098,value_1098,cat_8
1099,value_1099,cat_9
1100,value_1100,cat_0
1101,value_1101,cat_1
1102,value_1102,cat_2
1103,value_1103,cat_3
1104,value_1104,cat_4
1105,value_1105,cat_5
1106,value_1106,cat_6
1107,value_1107,cat_7
1108,value_1108,cat_8
1109,value_1109,cat_9
1110,value_1110,cat_0
1111,value_1111,cat_1
1112,value_1112,cat_2
1113,value_1113,cat_3
1114,value_1114,cat_4
1115,value_1115,cat_5
1116,value_1116,cat_6
1117,value_1117,cat_7
1118,value_1118,cat_8
1119,value_1119,cat_9
1120,value_1120,cat_0
1121,value_1121,cat_1
1122,value_1122,cat_2
1123,value_1123,cat_3
1124,value_1124,cat_4
1125,value_1125,cat_5
1126,value_1126,cat_6
1127,value_1127,cat_7
1128,value_1128,cat_8
1129,value_1129,cat_9
1130,value_1130,cat_0
1131,value_1131,cat_1
1132,value_1132,cat_2
1133,value_1133,cat_3
1134,value_1134,cat_4
1135,value_1135,cat_5
1136,value_1136,cat_6
1137,value_1137,cat_7
1138,value_1138,cat_8
1139,value_1139,cat_9
1140,value_1140,cat_0
1141,value_1141,cat_1
1142,value_1142,cat_2
1143,value_1143,cat_3
1144,value_1144,cat_4
1145,value_1145,cat_5
1146,value_1146,cat_6
1147,value_1147,cat_7
1148,value_1148,cat_8
1149,value_1149,cat_9
1150,value_1150,cat_0
1151,value_1151,cat_1
1152,value_1152,cat_2
1153,value_1153,cat_3
1154,value_1154,cat_4
1155,value_1155,cat_5
1156,value_1156,cat_6
1157,value_1157,cat_7
1158,value_1158,cat_8
1159,value_1159,cat_9
1160,value_1160,cat_0
1161,value_1161,cat_1
1162,value_1162,cat_2
1163,value_1163,cat_3
1164,value_1164,cat_4
1165,value_1165,cat_5
1166,value_1166,cat_6
1167,value_1167,cat_7
1168,value_1168,cat_8
1169,value_1169,cat_9
1170,value_1170,cat_0
1171,value_1171,cat_1
1172,value_1172,cat_2
1173,value_1173,cat_3
1174,value_1174,cat_4
1175,value_1175,cat_5
1176,value_1176,cat_6
1177,value_1177,cat_7
1178,value_1178,cat_8
1179,value_1179,cat_9
1180,value_1180,cat_0
1181,value_1181,cat_1
1182,value_1182,cat_2
1183,value_1183,cat_3
1184,value_1184,cat_4
1185,value_1185,cat_5
1186,value_1186,cat_6
1187,value_1187,cat_7
1188,value_1188,cat_8
1189,value_1189,cat_9
1190,value_1190,cat_0
1191,value_1191,cat_1
1192,value_1192,cat_2
1193,value_1193,cat_3
1194,value_1194,cat_4
1195,value_1195,cat_5
1196,value_1196,cat_6
1197,value_1197,cat_7
1198,value_1198,cat_8
1199,value_1199,cat_9
1200,value_1200,cat_0
1201,value_1201,cat_1
1202,value_1202,cat_2
1203,value_1203,cat_3
1204,value_1204,cat_4
1205,value_1205,cat_5
1206,value_1206,cat_6
1207,value_1207,cat_7
1208,value_1208,cat_8
1209,value_1209,cat_9
1210,value_1210,cat_0
1211,value_1211,cat_1
1212,value_1212,cat_2
1213,value_1213,cat_3
1214,value_1214,cat_4
1215,value_1215,cat_5
1216,value_1216,cat_6
1217,value_1217,cat_7
1218,value_1218,cat_8
1219,value_1219,cat_9
1220,value_1220,cat_0
1221,value_1221,cat_1
1222,value_1222,cat_2
1223,value_1223,cat_3
1224,value_1224,cat_4
1225,value_1225,cat_5
1226,value_1226,cat_6
1227,value_1227,cat_7
1228,value_1228,cat_8
